text,label
 vettel were full of joy very happy  and well try to take the momentum into the race  f  ,1
 fun for ferrari  maddening for mercedes watch  fp highlights as vettel and raikkonen lead the way f ,1
 the bigest suprise of the day first row for scuderiaferrari  formula mifolyikittgyngysn sochigp ,1
who do you think will win the   f,1
 a problem understood is a problem ready to be solved teamlh f quali  ,1
 turn on   on a scale of  how pleased does sebastian vettel sound  about a million   he clinches pole at the  ,1
 i definitely wasnt at my optimum  f  ,1
 breaking sebastian vettel takes pole at the   first  front row lockout since   ,1
 terminate le quali del    seb   kimi    skymotori  ,1
 the one where  blends friends and  ,1
 pole position for seb first row completed by kimi p  quali forzaferrari ,1
  sebastian vettel when i got the message that we got it i was obviously over the moon     f seb ,1
 fiatfriday and ferrarifriday combo  ,1
san francisco  formula one   thanks to    ,1
 welcome to our f playground jump on board and join us for the ride at the   givesyouwings  ,1
 full reaction from every team after qualifying in sochi gtgt  f  ,1
 first q of my career please with the job achieved by  this week end  all to play tomorrow   ,1
 rd in the qualifying reds too quick today but tomorrow is a new day   f  vb  ,1
 difficult weekend  struggling with grip and pace will try the best tomorrow and push hard   ,1
 finally after  years a ferrari  at the     forzaferrari sebastianvettel kimiraikkonen formula,1
 f pole for vettel and ferrari onetwo in russia   by   ,1
 lewis hamilton hopeful mercedes  victory chance not gone    skyf ,1
 a tremendous job by ferrari to lock out the front row of the russian grand prix  scuderiaferrari,1
and now he wish to come back i guess  ,1
full reaction from every team after qualifying in sochi gtgt  f  ,1
 amazing deimos view of  where the   is taking place this weekend f ,1
 updated f blog for  of the sochigp in russia   formula    ,1
 great team work ragazzi  seb quali ,1
  end of qualifying   top    vet  rai bot ham ric mas ver hul per oco  quali   f ,1
 row  vettel raikkonen row  bottas hamilton   unmissable heres when to tune in f ,1
 qualifying top   fsochi ,1
updated f blog for  of the sochigp in russia   formula     ,1
 whats behind the start  forzaferrari ,1
 so close to his first f pole in  years   ,1
 its the  this weekend and were giving away a   voucher   follow and rt for the chance to win h,1
 when in russia    always a crowdpleaser    f ,1
 mclaren perform without gforce ,1
 could sebastian vettels  pole be a turning point in f   skyf ,1
finally after  years a ferrari  at the     forzaferrari sebastianvettel kimiraikkonen formula,1
so far the  is quite exciting tomorrows race should be good      ,1
rt rsgovuk  hires shots from todays sessions    tororossospy ,1
 qualifying wrapup watch the best bits from a dramatic sochi showdown f  ,1
 hires shots from todays sessions     ,1
 vb i think we can see ferrari were quicker today we were close in the end but not close enough   f,1
 the finger is back again      f vettel seb ,1
the latest the underwurld daily  thanks to     fyrefest,1
  qualifying    vet  rai  bot  ham  front row ferrari lock down after  years i am soooo happpyy   f,1
 bigbangferrari the best of both worlds forza ferrari  ,1
 well done   getting into q for the first time in his career  pinkpanthers ,1
   saturday gallery      ferrari media   vettel seb f ,1
 scuderia ferrari locks first row at russian grand prix  forzaferrari  ,1
 p and aiming to move forward   pinkpanthers ,1
 happy times for  and  after qualifying   pinkpanthers ,1
the latest the roepan daily  thanks to   sharapova,1
the travel in the world daily is out  stories via    bbcnews ,1
terminate le quali del    seb   kimi    by ,1
 at  we trust  and  will get lots  of points at tomorrows  http,1
 first pole mercedes have missed in almost a season back to the drawing board says  f  ,1
 russian grand prix  the car was phenomenal  forzaferrari  by scuderiaferrari vi,1
russian grand prix  the car was phenomenal  forzaferrari  by scuderiaferrari via ,1
 p and p for checo and esteban  both cars make it into q  pinkpanthers,1
  top ten end of session    vet   rai  bot  ham  ver  mas  hul  ric  sai  mag    fp ,1
 starting from the back of the grid tomorrow so the only way is  sv mclarenhonda  ,1
 fp ended p for max  f maxverstappen  ,1
qualifying  fia press conference in russia f  sochif  via  ,1
 pole position onboard sebastian vettel ferrari   russian grand prix new record  f  formula ht,1
 your qualifying report is online now   formula  qualifying f ,1
 having too much fun in the garage this morning     f   ,1
best thing ive seen today by far massa russiandoll but whos inside ,1
 watch onboard with sebastian vettel as he takes pole at the    th pole of his career and his first since  ,1
 report a memorable day for  and their fans as they secure a  on the grid   ,1
 ferrari after qualifying  ,1
 cheer for the  stars as they outrace the competition at f  tomorrow at  pm ist bestke,1
 kimi i had a nice feeling with the car straight away and its always more fun like that  ,1
 the full picture from qualifying  its a fifth row lockdown for us going for points tomorrow  pinkpanthers,1
 provisional classification end of fp game on   f ,1
  minutes to fp  billywhizz ,1
 fp underway  forzaferrari ,1
    arrivabene when asked about why ferrari was slower in q look we have two drivers who are not just grea,1
 kimi and seb back to the garage  fp ,1
 fp ending with p and p for the scuderia seb tops the timesheet  ,1
 read what vettel raikkonen and bottas had to say in the postqualifying  press conference   ,1
 quali is go forzaferrari  ,1
ffull reaction from every team after qualifying in sochi gtgt  f   ,1
 air temp is c track c  quali ,1
 qualifying was disappointing ahead of the  in sochi   p and  p ,1
 f  sebastian vettel amp kimi raikkonen and  talk after  qualifying ,1
 q ending with seb p  and kimi p   quali ,1
 another day done off into the bright lights of sochi f  ,1
 starting q  quali forzaferrari ,1
f full reaction from every team after qualifying in sochi gtgt  f  ,1
  minutes q is starting now  quali forzaferrari ,1
 catch up on the  quali recap review and report at  f ,1
are you going to the  give your feedback on this years race here f ,1
   quali full carlos quote and results on  ,1
  hires shots from todays sessions     ,1
 want more from  quali check out our extended highlights edit f ,1
 vet if you have a rhythm here its fantastic a great result to have both cars on the front row quali   f ,1
 vet i knew it would be tight but obviously i was over the moon quali   f ,1
 driver reaction roundup who said what following qualifying for the    f ,1
 raikkonen frustrated by q traffic after narrow pole miss f   ,1
 from russia with love   see you tomorrow morning at am for fp ahead of the  ,1
 we qualify with  p splitting the red bulls and lance stroll p   weareracing,1
 when seeing red takes on another meaning  f  ferrari ,1
the latest taka timeline post  f ,1
 russian grand prix  seb and kimi top the fp time sheet  forzaferrari ,1
 russian grand prix  the car was phenomenal  forzaferrari ,1
 are you missing having pat symonds in the team you seemed to work well together  askrob,1
 sebastian vettel this is not the easiest track to pass but hopefully we dont have to f  ,1
 looking forward to the  this weekend hoping for a great race with plenty of overtaking amp on track racing  ,1
 bottas reminisces on childhood  ,1
  but i think it also shows ferrari s better grip out of tyres   seb,1
 sebastian vettel shaking hands with ferrari teammate kimi raikkonen after qualifying    f seb kimi h,1
 vettel with marko amp horner in the red bull hospitality this evening      f  ,1
 first laptimes kimi  p and seb  p  minutes to go forzaferrari  q,1
terminate le quali del    seb   kimi   by skysportfhd via ,1
 ready for the second try tyres on and fireup  seb kimi quali q forzaferrari,1
 red first row  forzaferrari ,1
 kimi was very excited to be on the front row   ,1
  amp  will start from p amp p tomorrow at the  can they beat the s on su,1
haha i was vetvetper so will be an interesting race  hopeitsabigpodium gonnaprobneedone  f  ,1
 we feel its time for another tyre man update todays task stacking tyres  ,1
  and especially it makes it easier to finetune the setup as it has been said ever since aus   f,1
 mercedes rear floor detail    f w ,1
 final thought mixed weekend so far but tomorrow is raceday and thats the one that counts  ,1
hoping for a certain someone to win tomorrow and hoping i dont have to press that big yellow buttondont let me ,1
 what an awesome qualifying session f  ,1
  perfect conditions for fp   f ,1
 but i think it also shows ferrari s better grip out of tyres   seb,1
 ferrari carrying on where they left off yesterday  kimi posts a  p    f ,1
 provisional classification end of q onetwo finnish   quali   f ,1
kimi qualifying a strong nd in russia but was frustrated to just miss the pole  f ,1
 here come   ham goes quickest fp   f ,1
 q  mins remaining   bot  vet rai ver hul per mag kvy ric  pal   quali   f ,1
 and especially it makes it easier to finetune the setup as it has been said ever since aus   ferrari seb,1
 great to see all the f teams getting behind the billywhizz campaign for  at the  motorsportf,1
 kimi amp seb after the qualifying  kimi seb  ,1
my guess on what happened thereseb       ,1
 after a day with media sessions im signing off in sochi tomorrow its time for some action on track  f,1
 yeeeeeeeees yes yes yes yes yes yes yes yes yeeees f skymotori   ,1
 thumbs up  from the   pole sitter sebastian vettel    seb f ,1
 half session update ham p  seb  bot  kimi   fp,1
 ultrasofts to run again  fp,1
 just in case you need a reminder  race show from am lights out at pm  skyf http,1
  pushing hard  hes up to fourth fp   f ,1
 ball back in mercedes court  vet posts a    top five  mins to go  vet  rai bot ham ver  fp   f htt,1
 next up qualifying let me know where youre watching from quali teamlh    x steve ethering,1
 kimi and seb out on ultrasofts  fp,1
the latest the arian gomez daily  thanks to     f,1
 billywhizz tribute sticker on sebastian vettels helmet    f seb ,1
 sochi  fp  get ready for qualifying f rg  haasf fp qualifyingday ,1
 good morning bestfans its qualifying day and were ready for action  but first fp  pinkpanthers ,1
 end of fp fsochi  me marcus  p pw pascal  p  ,1
the latest brearn wright sports report  stanleycup ,1
another day done off into the bright lights of sochi f  ,1
 pit stop practice for both drivers at the end of fp   ,1
 carrying on with nicos programme he heads out for a purple run  fp  ,1
 kimii am happy we had all the tools to be in front today  quali,1
 seb well try to take the momentum and go tomorrow im sure all the team now is happy as i am  quali,1
the latest alltheinterweb motors news  thanks to    honda,1
th pole for vettel and st for ferrari since    and frontrow lockout since    ,1
 lsfcv  hcap  srfarena  strnstund      cest trndnl ,1
 hulk is back tyres off dry ice on screens on tyres on and were ready for q  quali  ,1
  quali p for vb in sochi lh is p  we go again tomorrow   f ,1
